"ID","MeasurementTime","Measurement","Value"
"WBC-3","2019-05-05 20:12:52","perimeter",125.7
"WBC-3","2019-11-09 22:56:09","perimeter",136.5
"WBC-3","2019-06-15 23:05:45","perimeter",136.4
"WBC-3","2019-06-15 23:05:45","area",1319.5
"WBC-3","2019-11-23 20:10:14","area",1143.9
"WBC-3","2019-05-05 20:12:52","area",1249.4
"WBC-3","2019-11-09 22:56:09","area",1130
"WBC-4","2019-11-09 22:56:09","radius",11.2
"WBC-4","2019-06-15 23:05:45","radius",11
"WBC-4","2019-11-23 20:10:14","radius",11.3
"WBC-4","2019-05-05 20:12:52","radius",11.9
"WBC-4","2019-05-05 20:12:52","texture",21.1
"WBC-4","2019-11-09 22:56:09","texture",19.5
"WBC-4","2019-06-15 23:05:45","texture",20.8
"WBC-4","2019-11-23 20:10:14","texture",19.1
"WBC-4","2019-11-23 20:10:14","perimeter",82.3
"WBC-4","2019-05-05 20:12:52","perimeter",76.6
"WBC-4","2019-11-09 22:56:09","perimeter",79.3
"WBC-4","2019-06-15 23:05:45","perimeter",79.8
"WBC-4","2019-06-15 23:05:45","area",382
"WBC-4","2019-11-23 20:10:14","area",419.7
"WBC-4","2019-05-05 20:12:52","area",429.6
"WBC-4","2019-11-09 22:56:09","area",415.3
"WBC-5","2019-11-09 22:56:09","radius",19.5
"WBC-5","2019-06-15 23:05:45","radius",20.5
"WBC-5","2019-11-23 20:10:14","radius",21.9
"WBC-5","2019-05-05 20:12:52","radius",17.4
"WBC-5","2019-05-05 20:12:52","texture",15
"WBC-5","2019-11-09 22:56:09","texture",14
"WBC-5","2019-06-15 23:05:45","texture",14.2
"WBC-5","2019-11-23 20:10:14","texture",14.4
"WBC-5","2019-11-23 20:10:14","perimeter",139.4
"WBC-5","2019-05-05 20:12:52","perimeter",146.6
"WBC-5","2019-11-09 22:56:09","perimeter",127
"WBC-5","2019-06-15 23:05:45","perimeter",141.5
"WBC-5","2019-06-15 23:05:45","area",1341.8
"WBC-5","2019-11-23 20:10:14","area",1409.1
"WBC-5","2019-05-05 20:12:52","area",1224.8
"WBC-5","2019-11-09 22:56:09","area",1297.8
"WBC-6","2019-11-09 22:56:09","radius",13
"WBC-6","2019-06-15 23:05:45","radius",12.4
"WBC-6","2019-11-23 20:10:14","radius",12.7
"WBC-6","2019-05-05 20:12:52","radius",12.3
"WBC-6","2019-05-05 20:12:52","texture",15.4
"WBC-6","2019-11-09 22:56:09","texture",15
"WBC-6","2019-06-15 23:05:45","texture",15.3
"WBC-6","2019-11-23 20:10:14","texture",15.5
"WBC-6","2019-11-23 20:10:14","perimeter",82.2
"WBC-6","2019-05-05 20:12:52","perimeter",83.6
"WBC-6","2019-11-09 22:56:09","perimeter",85.1
"WBC-6","2019-06-15 23:05:45","perimeter",81.1
"WBC-6","2019-06-15 23:05:45","area",485.7
"WBC-6","2019-11-23 20:10:14","area",497.4
"WBC-6","2019-05-05 20:12:52","area",516.4
"WBC-6","2019-11-09 22:56:09","area",477.8
"WBC-7","2019-11-09 22:56:09","radius",18.7
"WBC-7","2019-06-15 23:05:45","radius",18.5
"WBC-7","2019-11-23 20:10:14","radius",18.2
"WBC-7","2019-05-05 20:12:52","radius",18.8
"WBC-7","2019-05-05 20:12:52","texture",20.6
"WBC-7","2019-11-09 22:56:09","texture",20.7
"WBC-7","2019-06-15 23:05:45","texture",19.2
"WBC-7","2019-11-23 20:10:14","texture",19.5
"WBC-7","2019-11-23 20:10:14","perimeter",116.2
"WBC-7","2019-05-05 20:12:52","perimeter",118.7
"WBC-7","2019-11-09 22:56:09","perimeter",112.9
"WBC-7","2019-06-15 23:05:45","perimeter",115.7
"WBC-7","2019-06-15 23:05:45","area",1002.2
"WBC-7","2019-11-23 20:10:14","area",1054.9
"WBC-7","2019-05-05 20:12:52","area",1083.7
"WBC-7","2019-11-09 22:56:09","area",1069
"WBC-8","2019-11-09 22:56:09","radius",14
"WBC-8","2019-06-15 23:05:45","radius",13.8
"WBC-8","2019-11-23 20:10:14","radius",14.7
"WBC-8","2019-05-05 20:12:52","radius",14.4
"WBC-8","2019-05-05 20:12:52","texture",19.4
"WBC-8","2019-11-09 22:56:09","texture",20.6
"WBC-8","2019-06-15 23:05:45","texture",22.6
"WBC-8","2019-11-23 20:10:14","texture",21.1
"WBC-8","2019-11-23 20:10:14","perimeter",90.5
"WBC-8","2019-05-05 20:12:52","perimeter",88.3
"WBC-8","2019-11-09 22:56:09","perimeter",86.4
"WBC-8","2019-06-15 23:05:45","perimeter",86.8
"WBC-8","2019-06-15 23:05:45","area",531.7
"WBC-8","2019-11-23 20:10:14","area",613.9
"WBC-8","2019-05-05 20:12:52","area",603.7
"WBC-8","2019-11-09 22:56:09","area",650.9
"WBC-9","2019-11-09 22:56:09","radius",12.8
"WBC-9","2019-06-15 23:05:45","radius",13.2
"WBC-9","2019-11-23 20:10:14","radius",13.1
"WBC-9","2019-05-05 20:12:52","radius",12.8
"WBC-9","2019-05-05 20:12:52","texture",20.7
"WBC-9","2019-11-09 22:56:09","texture",20.9
"WBC-9","2019-06-15 23:05:45","texture",20.3
"WBC-9","2019-11-23 20:10:14","texture",21.5
"WBC-9","2019-11-23 20:10:14","perimeter",89.5
"WBC-9","2019-05-05 20:12:52","perimeter",88.7
"WBC-9","2019-11-09 22:56:09","perimeter",88.2
"WBC-9","2019-06-15 23:05:45","perimeter",91.2
"WBC-9","2019-06-15 23:05:45","area",543.1
"WBC-9","2019-11-23 20:10:14","area",527.2
"WBC-9","2019-05-05 20:12:52","area",519.5
"WBC-9","2019-11-09 22:56:09","area",534.2
"WBC-10","2019-11-09 22:56:09","radius",12.4
"WBC-10","2019-06-15 23:05:45","radius",12.1
"WBC-10","2019-11-23 20:10:14","radius",12.4
"WBC-10","2019-05-05 20:12:52","radius",12.7
"WBC-10","2019-05-05 20:12:52","texture",25.5
"WBC-10","2019-11-09 22:56:09","texture",24.9
"WBC-10","2019-06-15 23:05:45","texture",23.1
"WBC-10","2019-11-23 20:10:14","texture",21.9
"WBC-10","2019-11-23 20:10:14","perimeter",85
"WBC-10","2019-05-05 20:12:52","perimeter",84
"WBC-10","2019-11-09 22:56:09","perimeter",83.7
"WBC-10","2019-06-15 23:05:45","perimeter",85.5
"WBC-10","2019-06-15 23:05:45","area",491.6
"WBC-10","2019-11-23 20:10:14","area",462.3
"WBC-10","2019-05-05 20:12:52","area",508.1
"WBC-10","2019-11-09 22:56:09","area",465.2
"WBC-11","2019-11-09 22:56:09","radius",16.3
"WBC-11","2019-06-15 23:05:45","radius",15.8
"WBC-11","2019-11-23 20:10:14","radius",15.5
"WBC-11","2019-05-05 20:12:52","radius",16.4
"WBC-11","2019-05-05 20:12:52","texture",24.7
"WBC-11","2019-11-09 22:56:09","texture",21.1
"WBC-11","2019-06-15 23:05:45","texture",22.4
"WBC-11","2019-11-23 20:10:14","texture",22.4
"WBC-11","2019-11-23 20:10:14","perimeter",102.2
"WBC-11","2019-05-05 20:12:52","perimeter",99
"WBC-11","2019-11-09 22:56:09","perimeter",102.6
"WBC-11","2019-06-15 23:05:45","perimeter",106
"WBC-11","2019-06-15 23:05:45","area",816.7
"WBC-11","2019-11-23 20:10:14","area",826.8
"WBC-11","2019-05-05 20:12:52","area",840
"WBC-11","2019-11-09 22:56:09","area",817.2
"WBC-12","2019-11-09 22:56:09","radius",15.3
"WBC-12","2019-06-15 23:05:45","radius",15.9
"WBC-12","2019-11-23 20:10:14","radius",15
"WBC-12","2019-05-05 20:12:52","radius",16.4
"WBC-12","2019-05-05 20:12:52","texture",18.2
"WBC-12","2019-11-09 22:56:09","texture",16.8
"WBC-12","2019-06-15 23:05:45","texture",18.6
"WBC-12","2019-11-23 20:10:14","texture",18.8
"WBC-12","2019-11-23 20:10:14","perimeter",105.9
"WBC-12","2019-05-05 20:12:52","perimeter",104.4
"WBC-12","2019-11-09 22:56:09","perimeter",108.1
"WBC-12","2019-06-15 23:05:45","perimeter",100.5
"WBC-12","2019-06-15 23:05:45","area",781.2
"WBC-12","2019-11-23 20:10:14","area",772.4
"WBC-12","2019-05-05 20:12:52","area",796.8
"WBC-12","2019-11-09 22:56:09","area",786.8
"WBC-13","2019-11-09 22:56:09","radius",18.5
"WBC-13","2019-06-15 23:05:45","radius",19
"WBC-13","2019-11-23 20:10:14","radius",19
"WBC-13","2019-05-05 20:12:52","radius",17.9
"WBC-13","2019-05-05 20:12:52","texture",23.4
"WBC-13","2019-11-09 22:56:09","texture",27.2
"WBC-13","2019-06-15 23:05:45","texture",23.5
"WBC-13","2019-11-23 20:10:14","texture",23.2
"WBC-13","2019-11-23 20:10:14","perimeter",131.7
"WBC-13","2019-05-05 20:12:52","perimeter",123.7
"WBC-13","2019-11-09 22:56:09","perimeter",132.7
"WBC-13","2019-06-15 23:05:45","perimeter",146.1
"WBC-13","2019-06-15 23:05:45","area",1131.2
"WBC-13","2019-11-23 20:10:14","area",1118
"WBC-13","2019-05-05 20:12:52","area",1049.5
"WBC-13","2019-11-09 22:56:09","area",1014.6
"WBC-14","2019-11-09 22:56:09","radius",16
"WBC-14","2019-06-15 23:05:45","radius",16
"WBC-14","2019-11-23 20:10:14","radius",15.8
"WBC-14","2019-05-05 20:12:52","radius",16
"WBC-14","2019-05-05 20:12:52","texture",23.3
"WBC-14","2019-11-09 22:56:09","texture",24.7
"WBC-14","2019-06-15 23:05:45","texture",24
"WBC-14","2019-11-23 20:10:14","texture",22.6
"WBC-14","2019-11-23 20:10:14","perimeter",105
"WBC-14","2019-05-05 20:12:52","perimeter",108.2
"WBC-14","2019-11-09 22:56:09","perimeter",104.1
"WBC-14","2019-06-15 23:05:45","perimeter",106.6
"WBC-14","2019-06-15 23:05:45","area",768.8
"WBC-14","2019-11-23 20:10:14","area",758.8
"WBC-14","2019-05-05 20:12:52","area",777.4
"WBC-14","2019-11-09 22:56:09","area",767.6
"WBC-15","2019-11-09 22:56:09","radius",13.6
"WBC-15","2019-06-15 23:05:45","radius",13.4
"WBC-15","2019-11-23 20:10:14","radius",14
"WBC-15","2019-05-05 20:12:52","radius",13.7
"WBC-15","2019-05-05 20:12:52","texture",23.1
"WBC-15","2019-11-09 22:56:09","texture",24.2
"WBC-15","2019-06-15 23:05:45","texture",22
"WBC-15","2019-11-23 20:10:14","texture",22.9
"WBC-15","2019-11-23 20:10:14","perimeter",91
"WBC-15","2019-05-05 20:12:52","perimeter",92.7
"WBC-15","2019-11-09 22:56:09","perimeter",93.3
"WBC-15","2019-06-15 23:05:45","perimeter",90.9
"WBC-15","2019-06-15 23:05:45","area",550.7
"WBC-15","2019-11-23 20:10:14","area",572
"WBC-15","2019-05-05 20:12:52","area",565.1
"WBC-15","2019-11-09 22:56:09","area",559.1
"WBC-16","2019-11-09 22:56:09","radius",14.8
"WBC-16","2019-06-15 23:05:45","radius",14.7
"WBC-16","2019-11-23 20:10:14","radius",14.2
"WBC-16","2019-05-05 20:12:52","radius",14.5
"WBC-16","2019-05-05 20:12:52","texture",27.1
"WBC-16","2019-11-09 22:56:09","texture",28.7
"WBC-16","2019-06-15 23:05:45","texture",27
"WBC-16","2019-11-23 20:10:14","texture",28.9
"WBC-16","2019-11-23 20:10:14","perimeter",93.7
"WBC-16","2019-05-05 20:12:52","perimeter",90.2
"WBC-16","2019-11-09 22:56:09","perimeter",92.8
"WBC-16","2019-06-15 23:05:45","perimeter",96.5
"WBC-16","2019-06-15 23:05:45","area",635.9
"WBC-16","2019-11-23 20:10:14","area",648.5
"WBC-16","2019-05-05 20:12:52","area",625.5
"WBC-16","2019-11-09 22:56:09","area",668.8
"WBC-17","2019-11-09 22:56:09","radius",14.5
"WBC-17","2019-06-15 23:05:45","radius",14.6
"WBC-17","2019-11-23 20:10:14","radius",14.7
"WBC-17","2019-05-05 20:12:52","radius",15.3
"WBC-17","2019-05-05 20:12:52","texture",19.3
"WBC-17","2019-11-09 22:56:09","texture",20.8
"WBC-17","2019-06-15 23:05:45","texture",20.3
"WBC-17","2019-11-23 20:10:14","texture",21.2
"WBC-17","2019-11-23 20:10:14","perimeter",98.1
"WBC-17","2019-05-05 20:12:52","perimeter",91.7
"WBC-17","2019-11-09 22:56:09","perimeter",97.9
"WBC-17","2019-06-15 23:05:45","perimeter",98.3
"WBC-17","2019-06-15 23:05:45","area",763.8
"WBC-17","2019-11-23 20:10:14","area",739.2
"WBC-17","2019-05-05 20:12:52","area",597.7
"WBC-17","2019-11-09 22:56:09","area",632.4
"WBC-18","2019-11-09 22:56:09","radius",16.3
"WBC-18","2019-06-15 23:05:45","radius",14.8
"WBC-18","2019-11-23 20:10:14","radius",16.4
"WBC-18","2019-05-05 20:12:52","radius",17.3
"WBC-18","2019-05-05 20:12:52","texture",20.2
"WBC-18","2019-11-09 22:56:09","texture",21.8
"WBC-18","2019-06-15 23:05:45","texture",19
"WBC-18","2019-11-23 20:10:14","texture",19.7
"WBC-18","2019-11-23 20:10:14","perimeter",105.4
"WBC-18","2019-05-05 20:12:52","perimeter",111.1
"WBC-18","2019-11-09 22:56:09","perimeter",102.7
"WBC-18","2019-06-15 23:05:45","perimeter",107.7
"WBC-18","2019-06-15 23:05:45","area",879.2
"WBC-18","2019-11-23 20:10:14","area",846.1
"WBC-18","2019-05-05 20:12:52","area",827.3
"WBC-18","2019-11-09 22:56:09","area",858.8
"WBC-19","2019-11-09 22:56:09","radius",20.4
"WBC-19","2019-06-15 23:05:45","radius",19.5
"WBC-19","2019-11-23 20:10:14","radius",19.1
"WBC-19","2019-05-05 20:12:52","radius",20.7
"WBC-19","2019-05-05 20:12:52","texture",20.3
"WBC-19","2019-11-09 22:56:09","texture",22.9
"WBC-19","2019-06-15 23:05:45","texture",22.5
"WBC-19","2019-11-23 20:10:14","texture",21.7
"WBC-19","2019-11-23 20:10:14","perimeter",130.1
"WBC-19","2019-05-05 20:12:52","perimeter",130.2
"WBC-19","2019-11-09 22:56:09","perimeter",136.1
"WBC-19","2019-06-15 23:05:45","perimeter",130.5
"WBC-19","2019-06-15 23:05:45","area",1440
"WBC-19","2019-11-23 20:10:14","area",1216.2
"WBC-19","2019-05-05 20:12:52","area",1338
"WBC-19","2019-11-09 22:56:09","area",1215
"WBC-20","2019-11-09 22:56:09","radius",13.9
"WBC-20","2019-06-15 23:05:45","radius",13.3
"WBC-20","2019-11-23 20:10:14","radius",13.3
"WBC-20","2019-05-05 20:12:52","radius",13.4
"WBC-20","2019-05-05 20:12:52","texture",15.4
"WBC-20","2019-11-09 22:56:09","texture",15
"WBC-20","2019-06-15 23:05:45","texture",15.1
"WBC-20","2019-11-23 20:10:14","texture",13.6
"WBC-20","2019-11-23 20:10:14","perimeter",85.9
"WBC-20","2019-05-05 20:12:52","perimeter",90.9
"WBC-20","2019-11-09 22:56:09","perimeter",89.3
"WBC-20","2019-06-15 23:05:45","perimeter",87.7
"WBC-20","2019-06-15 23:05:45","area",594.9
"WBC-20","2019-11-23 20:10:14","area",596.6
"WBC-20","2019-05-05 20:12:52","area",553.1
"WBC-20","2019-11-09 22:56:09","area",549.2
"WBC-21","2019-11-09 22:56:09","radius",13
"WBC-21","2019-06-15 23:05:45","radius",13.5
"WBC-21","2019-11-23 20:10:14","radius",13.1
"WBC-21","2019-05-05 20:12:52","radius",12.8
"WBC-21","2019-05-05 20:12:52","texture",14.6
"WBC-21","2019-11-09 22:56:09","texture",15.3
"WBC-21","2019-06-15 23:05:45","texture",16
"WBC-21","2019-11-23 20:10:14","texture",16
"WBC-21","2019-11-23 20:10:14","perimeter",85.8
"WBC-21","2019-05-05 20:12:52","perimeter",85.6
"WBC-21","2019-11-09 22:56:09","perimeter",84.4
"WBC-21","2019-06-15 23:05:45","perimeter",86.8
"WBC-21","2019-06-15 23:05:45","area",527
"WBC-21","2019-11-23 20:10:14","area",505.6
"WBC-21","2019-05-05 20:12:52","area",525
"WBC-21","2019-11-09 22:56:09","area",503.8
"WBC-22","2019-11-09 22:56:09","radius",9.8
"WBC-22","2019-06-15 23:05:45","radius",9.2
"WBC-22","2019-11-23 20:10:14","radius",9.9
"WBC-22","2019-05-05 20:12:52","radius",9.9
"WBC-22","2019-05-05 20:12:52","texture",11.2
"WBC-22","2019-11-09 22:56:09","texture",12.2
"WBC-22","2019-06-15 23:05:45","texture",11.1
"WBC-22","2019-11-23 20:10:14","texture",13.1
"WBC-22","2019-11-23 20:10:14","perimeter",60.2
"WBC-22","2019-05-05 20:12:52","perimeter",61.6
"WBC-22","2019-11-09 22:56:09","perimeter",61.3
"WBC-22","2019-06-15 23:05:45","perimeter",62
"WBC-22","2019-06-15 23:05:45","area",310.9
"WBC-22","2019-11-23 20:10:14","area",280.7
"WBC-22","2019-05-05 20:12:52","area",269.1
"WBC-22","2019-11-09 22:56:09","area",288.5
"WBC-23","2019-11-09 22:56:09","radius",15.7
"WBC-23","2019-06-15 23:05:45","radius",15.2
"WBC-23","2019-11-23 20:10:14","radius",14.2
"WBC-23","2019-05-05 20:12:52","radius",15.2
"WBC-23","2019-05-05 20:12:52","texture",14.1
"WBC-23","2019-11-09 22:56:09","texture",13.7
"WBC-23","2019-06-15 23:05:45","texture",14.5
"WBC-23","2019-11-23 20:10:14","texture",13.7
"WBC-23","2019-11-23 20:10:14","perimeter",110.5
"WBC-23","2019-05-05 20:12:52","perimeter",103.7
"WBC-23","2019-11-09 22:56:09","perimeter",105.1
"WBC-23","2019-06-15 23:05:45","perimeter",99.5
"WBC-23","2019-06-15 23:05:45","area",763.4
"WBC-23","2019-11-23 20:10:14","area",739.6
"WBC-23","2019-05-05 20:12:52","area",629.1
"WBC-23","2019-11-09 22:56:09","area",651.7
"WBC-24","2019-11-09 22:56:09","radius",21.1
"WBC-24","2019-06-15 23:05:45","radius",21.7
"WBC-24","2019-11-23 20:10:14","radius",22.2
"WBC-24","2019-05-05 20:12:52","radius",21.6
"WBC-24","2019-05-05 20:12:52","texture",24.8
"WBC-24","2019-11-09 22:56:09","texture",22.7
"WBC-24","2019-06-15 23:05:45","texture",24.7
"WBC-24","2019-11-23 20:10:14","texture",23.9
"WBC-24","2019-11-23 20:10:14","perimeter",141
"WBC-24","2019-05-05 20:12:52","perimeter",140.3
"WBC-24","2019-11-09 22:56:09","perimeter",133.7
"WBC-24","2019-06-15 23:05:45","perimeter",140.7
"WBC-24","2019-06-15 23:05:45","area",1347.8
"WBC-24","2019-11-23 20:10:14","area",1503
"WBC-24","2019-05-05 20:12:52","area",1300.1
"WBC-24","2019-11-09 22:56:09","area",1359.9
"WBC-25","2019-11-09 22:56:09","radius",17
"WBC-25","2019-06-15 23:05:45","radius",16
"WBC-25","2019-11-23 20:10:14","radius",17.2
"WBC-25","2019-05-05 20:12:52","radius",17.5
"WBC-25","2019-05-05 20:12:52","texture",21.5
"WBC-25","2019-11-09 22:56:09","texture",21.8
"WBC-25","2019-06-15 23:05:45","texture",21.8
"WBC-25","2019-11-23 20:10:14","texture",20.4
"WBC-25","2019-11-23 20:10:14","perimeter",113.8
"WBC-25","2019-05-05 20:12:52","perimeter",116.4
"WBC-25","2019-11-09 22:56:09","perimeter",114.9
"WBC-25","2019-06-15 23:05:45","perimeter",114.7
"WBC-25","2019-06-15 23:05:45","area",849.6
"WBC-25","2019-11-23 20:10:14","area",1049.4
"WBC-25","2019-05-05 20:12:52","area",988.3
"WBC-25","2019-11-09 22:56:09","area",958.4
"WBC-26","2019-11-09 22:56:09","radius",16.7
"WBC-26","2019-06-15 23:05:45","radius",17.1
"WBC-26","2019-11-23 20:10:14","radius",17.9
"WBC-26","2019-05-05 20:12:52","radius",18.7
"WBC-26","2019-05-05 20:12:52","texture",16.9
"WBC-26","2019-11-09 22:56:09","texture",15.8
"WBC-26","2019-06-15 23:05:45","texture",16.2
"WBC-26","2019-11-23 20:10:14","texture",16.1
"WBC-26","2019-11-23 20:10:14","perimeter",118
"WBC-26","2019-05-05 20:12:52","perimeter",114
"WBC-26","2019-11-09 22:56:09","perimeter",122.4
"WBC-26","2019-06-15 23:05:45","perimeter",127.4
"WBC-26","2019-06-15 23:05:45","area",823
"WBC-26","2019-11-23 20:10:14","area",864
"WBC-26","2019-05-05 20:12:52","area",812.2
"WBC-26","2019-11-09 22:56:09","area",923.8
"WBC-27","2019-11-09 22:56:09","radius",14.5
"WBC-27","2019-06-15 23:05:45","radius",14.6
"WBC-27","2019-11-23 20:10:14","radius",14.9
"WBC-27","2019-05-05 20:12:52","radius",14.5
"WBC-27","2019-05-05 20:12:52","texture",19.5
"WBC-27","2019-11-09 22:56:09","texture",20.3
"WBC-27","2019-06-15 23:05:45","texture",21.1
"WBC-27","2019-11-23 20:10:14","texture",22.9
"WBC-27","2019-11-23 20:10:14","perimeter",97
"WBC-27","2019-05-05 20:12:52","perimeter",95.4
"WBC-27","2019-11-09 22:56:09","perimeter",101.3
"WBC-27","2019-06-15 23:05:45","perimeter",95.3
"WBC-27","2019-06-15 23:05:45","area",658.5
"WBC-27","2019-11-23 20:10:14","area",643.4
"WBC-27","2019-05-05 20:12:52","area",661.9
"WBC-27","2019-11-09 22:56:09","area",641.8
"WBC-28","2019-11-09 22:56:09","radius",19.3
"WBC-28","2019-06-15 23:05:45","radius",20
"WBC-28","2019-11-23 20:10:14","radius",17.7
"WBC-28","2019-05-05 20:12:52","radius",18.5
"WBC-28","2019-05-05 20:12:52","texture",20.9
"WBC-28","2019-11-09 22:56:09","texture",20.2
"WBC-28","2019-06-15 23:05:45","texture",22.9
"WBC-28","2019-11-23 20:10:14","texture",20.6
"WBC-28","2019-11-23 20:10:14","perimeter",113.3
"WBC-28","2019-05-05 20:12:52","perimeter",133.4
"WBC-28","2019-11-09 22:56:09","perimeter",120.4
"WBC-28","2019-06-15 23:05:45","perimeter",124.4
"WBC-28","2019-06-15 23:05:45","area",1077.2
"WBC-28","2019-11-23 20:10:14","area",1168
"WBC-28","2019-05-05 20:12:52","area",1193.2
"WBC-28","2019-11-09 22:56:09","area",882.2
"WBC-29","2019-11-09 22:56:09","radius",16.3
"WBC-29","2019-06-15 23:05:45","radius",15.2
"WBC-29","2019-11-23 20:10:14","radius",15.1
"WBC-29","2019-05-05 20:12:52","radius",15
"WBC-29","2019-05-05 20:12:52","texture",26.5
"WBC-29","2019-11-09 22:56:09","texture",25.5
"WBC-29","2019-06-15 23:05:45","texture",24.4
"WBC-29","2019-11-23 20:10:14","texture",25.4
"WBC-29","2019-11-23 20:10:14","perimeter",106.3
"WBC-29","2019-05-05 20:12:52","perimeter",108.7
"WBC-29","2019-11-09 22:56:09","perimeter",107.3
"WBC-29","2019-06-15 23:05:45","perimeter",99.1
"WBC-29","2019-06-15 23:05:45","area",721.6
"WBC-29","2019-11-23 20:10:14","area",733.5
"WBC-29","2019-05-05 20:12:52","area",755.4
"WBC-29","2019-11-09 22:56:09","area",768.5
"WBC-30","2019-11-09 22:56:09","radius",17.4
"WBC-30","2019-06-15 23:05:45","radius",18.6
"WBC-30","2019-11-23 20:10:14","radius",17.9
"WBC-30","2019-05-05 20:12:52","radius",17.2
"WBC-30","2019-05-05 20:12:52","texture",14.5
"WBC-30","2019-11-09 22:56:09","texture",14.1
"WBC-30","2019-06-15 23:05:45","texture",15.3
"WBC-30","2019-11-23 20:10:14","texture",14.5
"WBC-30","2019-11-23 20:10:14","perimeter",115.9
"WBC-30","2019-05-05 20:12:52","perimeter",118.3
"WBC-30","2019-11-09 22:56:09","perimeter",113.1
"WBC-30","2019-06-15 23:05:45","perimeter",112.3
"WBC-30","2019-06-15 23:05:45","area",843.6
"WBC-30","2019-11-23 20:10:14","area",1051.2
"WBC-30","2019-05-05 20:12:52","area",1040.7
"WBC-30","2019-11-09 22:56:09","area",870.8
"WBC-31","2019-11-09 22:56:09","radius",18.8
"WBC-31","2019-06-15 23:05:45","radius",17.8
"WBC-31","2019-11-23 20:10:14","radius",19
"WBC-31","2019-05-05 20:12:52","radius",18.4
"WBC-31","2019-05-05 20:12:52","texture",27.6
"WBC-31","2019-11-09 22:56:09","texture",24.3
"WBC-31","2019-06-15 23:05:45","texture",22.9
"WBC-31","2019-11-23 20:10:14","texture",24.3
"WBC-31","2019-11-23 20:10:14","perimeter",124.6
"WBC-31","2019-05-05 20:12:52","perimeter",124.2
"WBC-31","2019-11-09 22:56:09","perimeter",116
"WBC-31","2019-06-15 23:05:45","perimeter",111.4
"WBC-31","2019-06-15 23:05:45","area",1168.1
"WBC-31","2019-11-23 20:10:14","area",1180.9
"WBC-31","2019-05-05 20:12:52","area",1117
"WBC-31","2019-11-09 22:56:09","area",984.1
"WBC-32","2019-11-09 22:56:09","radius",11.7
"WBC-32","2019-06-15 23:05:45","radius",12.4
"WBC-32","2019-11-23 20:10:14","radius",10.8
"WBC-32","2019-05-05 20:12:52","radius",11.6
"WBC-32","2019-05-05 20:12:52","texture",18.3
"WBC-32","2019-11-09 22:56:09","texture",19
"WBC-32","2019-06-15 23:05:45","texture",19.3
"WBC-32","2019-11-23 20:10:14","texture",19.8
"WBC-32","2019-11-23 20:10:14","perimeter",77.6
"WBC-32","2019-05-05 20:12:52","perimeter",82.4
"WBC-32","2019-11-09 22:56:09","perimeter",78.8
"WBC-32","2019-06-15 23:05:45","perimeter",82
"WBC-32","2019-06-15 23:05:45","area",407.5
"WBC-32","2019-11-23 20:10:14","area",477.9
"WBC-32","2019-05-05 20:12:52","area",457.5
"WBC-32","2019-11-09 22:56:09","area",403.9
"WBC-33","2019-11-09 22:56:09","radius",16.8
"WBC-33","2019-06-15 23:05:45","radius",17.5
"WBC-33","2019-11-23 20:10:14","radius",16.8
