--- Starting fine-tuning for model_type: gpt2 ---
Model configured with LoRA:
trainable params: 294912 || all params: 124734720 || trainable%: 0.24
Starting training...
{'loss': '3.568', 'grad_norm': '0.3329', 'learning_rate': '0.0002', 'epoch': '0.0006034'}
{'loss': '2.415', 'grad_norm': '0.3066', 'learning_rate': '0.0001806', 'epoch': '0.09775'}
{'loss': '2.4', 'grad_norm': '0.3548', 'learning_rate': '0.0001805', 'epoch': '0.09836'}
{'loss': '2.355', 'grad_norm': '0.4406', 'learning_rate': '0.0001803', 'epoch': '0.09896'}
{'loss': '2.512', 'grad_norm': '0.4374', 'learning_rate': '0.0001802', 'epoch': '0.09956'}
{'loss': '2.635', 'grad_norm': '0.5067', 'learning_rate': '0.0001801', 'epoch': '0.1002'}
{'loss': '2.497', 'grad_norm': '0.4003', 'learning_rate': '0.00018', 'epoch': '0.1008'}
{'loss': '2.083', 'grad_norm': '0.4058', 'learning_rate': '0.0001799', 'epoch': '0.1014'}
{'loss': '2.164', 'grad_norm': '0.4398', 'learning_rate': '0.0001797', 'epoch': '0.102'}
{'loss': '2.037', 'grad_norm': '0.3924', 'learning_rate': '0.0001796', 'epoch': '0.1026'}
{'loss': '2.029', 'grad_norm': '0.4567', 'learning_rate': '0.0001795', 'epoch': '0.1032'}
{'loss': '1.92', 'grad_norm': '0.3341', 'learning_rate': '0.0001794', 'epoch': '0.1038'}
{'loss': '2.442', 'grad_norm': '0.5279', 'learning_rate': '0.0001793', 'epoch': '0.1044'}
{'loss': '2.261', 'grad_norm': '0.4076', 'learning_rate': '0.0001791', 'epoch': '0.105'}
{'loss': '1.902', 'grad_norm': '0.4126', 'learning_rate': '0.000179', 'epoch': '0.1056'}
{'loss': '1.639', 'grad_norm': '0.3377', 'learning_rate': '0.0001789', 'epoch': '0.1062'}
{'loss': '2.129', 'grad_norm': '0.403', 'learning_rate': '0.0001788', 'epoch': '0.1068'}
{'loss': '2.217', 'grad_norm': '0.4354', 'learning_rate': '0.0001786', 'epoch': '0.1074'}
{'loss': '2.976', 'grad_norm': '0.4559', 'learning_rate': '0.0001785', 'epoch': '0.108'}
{'loss': '1.944', 'grad_norm': '0.4039', 'learning_rate': '0.0001784', 'epoch': '0.1086'}
{'loss': '1.989', 'grad_norm': '0.7168', 'learning_rate': '0.0001783', 'epoch': '0.1092'}
{'loss': '2.72', 'grad_norm': '0.3285', 'learning_rate': '0.0001782', 'epoch': '0.1098'}
{'loss': '1.89', 'grad_norm': '0.2885', 'learning_rate': '0.000178', 'epoch': '0.1104'}
{'loss': '2.006', 'grad_norm': '0.481', 'learning_rate': '0.0001779', 'epoch': '0.111'}
{'loss': '1.981', 'grad_norm': '0.3151', 'learning_rate': '0.0001778', 'epoch': '0.1116'}
{'loss': '2.14', 'grad_norm': '0.4132', 'learning_rate': '0.0001777', 'epoch': '0.1122'}
{'loss': '2.648', 'grad_norm': '0.6585', 'learning_rate': '0.0001776', 'epoch': '0.1128'}
{'loss': '2.325', 'grad_norm': '0.384', 'learning_rate': '0.0001774', 'epoch': '0.1134'}
{'loss': '2.39', 'grad_norm': '0.4613', 'learning_rate': '0.0001773', 'epoch': '0.114'}
{'loss': '2.583', 'grad_norm': '0.4327', 'learning_rate': '0.0001772', 'epoch': '0.1146'}
{'loss': '2.35', 'grad_norm': '0.3196', 'learning_rate': '0.0001771', 'epoch': '0.1153'}
{'loss': '1.988', 'grad_norm': '0.381', 'learning_rate': '0.000177', 'epoch': '0.1159'}
{'loss': '2.253', 'grad_norm': '0.3044', 'learning_rate': '0.0001768', 'epoch': '0.1165'}
{'loss': '2.197', 'grad_norm': '0.2964', 'learning_rate': '0.0001767', 'epoch': '0.1171'}
{'loss': '2.498', 'grad_norm': '0.5028', 'learning_rate': '0.0001766', 'epoch': '0.1177'}
{'loss': '2.034', 'grad_norm': '0.3686', 'learning_rate': '0.0001765', 'epoch': '0.1183'}
{'loss': '1.53', 'grad_norm': '0.3021', 'learning_rate': '0.0001764', 'epoch': '0.1189'}
{'loss': '1.486', 'grad_norm': '0.3814', 'learning_rate': '0.0001762', 'epoch': '0.1195'}
{'loss': '2.345', 'grad_norm': '0.4423', 'learning_rate': '0.0001761', 'epoch': '0.1201'}
{'loss': '1.931', 'grad_norm': '2.064', 'learning_rate': '0.000176', 'epoch': '0.1207'}
{'loss': '2.183', 'grad_norm': '0.3396', 'learning_rate': '0.0001759', 'epoch': '0.1213'}
{'loss': '1.809', 'grad_norm': '0.3668', 'learning_rate': '0.0001758', 'epoch': '0.1219'}
{'loss': '2.173', 'grad_norm': '0.3171', 'learning_rate': '0.0001756', 'epoch': '0.1225'}
{'loss': '2.632', 'grad_norm': '0.484', 'learning_rate': '0.0001755', 'epoch': '0.1231'}
{'loss': '2.837', 'grad_norm': '0.3482', 'learning_rate': '0.0001754', 'epoch': '0.1237'}
{'loss': '1.727', 'grad_norm': '0.3112', 'learning_rate': '0.0001753', 'epoch': '0.1243'}
{'loss': '2.413', 'grad_norm': '0.4027', 'learning_rate': '0.0001752', 'epoch': '0.1249'}
{'loss': '2.215', 'grad_norm': '0.4043', 'learning_rate': '0.000175', 'epoch': '0.1255'}
{'loss': '1.978', 'grad_norm': '0.4375', 'learning_rate': '0.0001749', 'epoch': '0.1261'}
{'loss': '2.224', 'grad_norm': '0.4649', 'learning_rate': '0.0001748', 'epoch': '0.1267'}
{'loss': '2.292', 'grad_norm': '0.3133', 'learning_rate': '0.0001747', 'epoch': '0.1273'}
{'loss': '2.598', 'grad_norm': '0.5245', 'learning_rate': '0.0001745', 'epoch': '0.1279'}
{'loss': '2.279', 'grad_norm': '0.3449', 'learning_rate': '0.0001744', 'epoch': '0.1285'}
{'loss': '2.32', 'grad_norm': '0.3242', 'learning_rate': '0.0001743', 'epoch': '0.1291'}
{'loss': '2.239', 'grad_norm': '0.3736', 'learning_rate': '0.0001742', 'epoch': '0.1297'}
{'loss': '2.395', 'grad_norm': '1.254', 'learning_rate': '0.0001741', 'epoch': '0.1303'}
{'loss': '2.257', 'grad_norm': '0.3719', 'learning_rate': '0.0001739', 'epoch': '0.1309'}
{'loss': '2.585', 'grad_norm': '0.5894', 'learning_rate': '0.0001738', 'epoch': '0.1315'}
{'loss': '2.52', 'grad_norm': '0.3826', 'learning_rate': '0.0001737', 'epoch': '0.1321'}
{'loss': '2.256', 'grad_norm': '0.4062', 'learning_rate': '0.0001736', 'epoch': '0.1328'}
{'loss': '2.029', 'grad_norm': '0.3203', 'learning_rate': '0.0001735', 'epoch': '0.1334'}
{'loss': '2.065', 'grad_norm': '0.3079', 'learning_rate': '0.0001733', 'epoch': '0.134'}
{'loss': '2.331', 'grad_norm': '0.3304', 'learning_rate': '0.0001732', 'epoch': '0.1346'}
{'loss': '2.407', 'grad_norm': '0.3511', 'learning_rate': '0.0001731', 'epoch': '0.1352'}
{'loss': '2.077', 'grad_norm': '0.412', 'learning_rate': '0.000173', 'epoch': '0.1358'}
{'loss': '2.196', 'grad_norm': '0.3368', 'learning_rate': '0.0001729', 'epoch': '0.1364'}
{'loss': '2.086', 'grad_norm': '0.4133', 'learning_rate': '0.0001727', 'epoch': '0.137'}
{'loss': '2.132', 'grad_norm': '0.4612', 'learning_rate': '0.0001726', 'epoch': '0.1376'}
{'loss': '2.108', 'grad_norm': '0.4776', 'learning_rate': '0.0001725', 'epoch': '0.1382'}
{'loss': '2.149', 'grad_norm': '0.388', 'learning_rate': '0.0001724', 'epoch': '0.1388'}
{'loss': '2.152', 'grad_norm': '0.3378', 'learning_rate': '0.0001723', 'epoch': '0.1394'}
{'loss': '2.095', 'grad_norm': '0.4309', 'learning_rate': '0.0001721', 'epoch': '0.14'}
{'loss': '1.987', 'grad_norm': '0.598', 'learning_rate': '0.000172', 'epoch': '0.1406'}
{'loss': '2.406', 'grad_norm': '0.3353', 'learning_rate': '0.0001719', 'epoch': '0.1412'}
{'loss': '2.328', 'grad_norm': '0.4934', 'learning_rate': '0.0001718', 'epoch': '0.1418'}
{'loss': '2.125', 'grad_norm': '0.3466', 'learning_rate': '0.0001717', 'epoch': '0.1424'}
{'loss': '1.751', 'grad_norm': '0.4187', 'learning_rate': '0.0001715', 'epoch': '0.143'}
{'loss': '1.806', 'grad_norm': '0.3923', 'learning_rate': '0.0001714', 'epoch': '0.1436'}
{'loss': '2.179', 'grad_norm': '0.3829', 'learning_rate': '0.0001713', 'epoch': '0.1442'}
{'loss': '2.311', 'grad_norm': '0.3673', 'learning_rate': '0.0001712', 'epoch': '0.1448'}
{'loss': '2.533', 'grad_norm': '0.3256', 'learning_rate': '0.000171', 'epoch': '0.1454'}
{'loss': '2.129', 'grad_norm': '0.5488', 'learning_rate': '0.0001709', 'epoch': '0.146'}
{'loss': '2.312', 'grad_norm': '0.3891', 'learning_rate': '0.0001708', 'epoch': '0.1466'}
{'loss': '1.792', 'grad_norm': '0.4145', 'learning_rate': '0.0001707', 'epoch': '0.1472'}
{'loss': '2.083', 'grad_norm': '0.3986', 'learning_rate': '0.0001706', 'epoch': '0.1478'}
{'loss': '1.79', 'grad_norm': '0.2828', 'learning_rate': '0.0001704', 'epoch': '0.1484'}
{'loss': '1.806', 'grad_norm': '0.397', 'learning_rate': '0.0001703', 'epoch': '0.149'}
{'loss': '1.955', 'grad_norm': '0.4305', 'learning_rate': '0.0001702', 'epoch': '0.1496'}
{'loss': '1.958', 'grad_norm': '0.5722', 'learning_rate': '0.0001701', 'epoch': '0.1502'}
{'loss': '1.66', 'grad_norm': '0.4003', 'learning_rate': '0.00017', 'epoch': '0.1509'}
{'loss': '2.644', 'grad_norm': '0.6212', 'learning_rate': '0.0001698', 'epoch': '0.1515'}
{'loss': '2.076', 'grad_norm': '0.5724', 'learning_rate': '0.0001697', 'epoch': '0.1521'}
{'loss': '2.348', 'grad_norm': '0.5857', 'learning_rate': '0.0001696', 'epoch': '0.1527'}
{'loss': '2.789', 'grad_norm': '0.4084', 'learning_rate': '0.0001695', 'epoch': '0.1533'}
{'loss': '1.807', 'grad_norm': '0.3488', 'learning_rate': '0.0001694', 'epoch': '0.1539'}
{'loss': '2.09', 'grad_norm': '0.381', 'learning_rate': '0.0001692', 'epoch': '0.1545'}
{'loss': '1.716', 'grad_norm': '0.6119', 'learning_rate': '0.0001691', 'epoch': '0.1551'}
{'loss': '2.597', 'grad_norm': '0.4155', 'learning_rate': '0.000169', 'epoch': '0.1557'}
{'loss': '1.99', 'grad_norm': '0.3816', 'learning_rate': '0.0001689', 'epoch': '0.1563'}
{'loss': '2.094', 'grad_norm': '0.3855', 'learning_rate': '0.0001688', 'epoch': '0.1569'}
{'loss': '2.169', 'grad_norm': '0.4428', 'learning_rate': '0.0001686', 'epoch': '0.1575'}
